epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,426.526,0.52513,0.70745,0.87117,0.91509,0.93557,0.96557,0.84952,0.47186,0.82509,0.8553,0.00073025,0.00073025,0.00073025
23,446.755,0.55228,0.73247,0.88423,0.92173,0.90275,0.95424,0.85876,0.46068,0.80592,0.85481,0.0007055,0.0007055,0.0007055
24,466.528,0.54252,0.7245,0.87561,0.92614,0.94296,0.97678,0.89073,0.4332,0.78816,0.84826,0.00068075,0.00068075,0.00068075
25,486.397,0.564,0.72036,0.87704,0.94141,0.94421,0.97598,0.88876,0.42039,0.74793,0.84365,0.000656,0.000656,0.000656
26,505.625,0.57049,0.72805,0.90663,0.90085,0.94331,0.96129,0.87145,0.44667,0.73755,0.85077,0.00063125,0.00063125,0.00063125
27,525.061,0.50379,0.65814,0.88062,0.90077,0.96134,0.96712,0.88091,0.39872,0.71305,0.84051,0.0006065,0.0006065,0.0006065
28,544.101,0.51694,0.65722,0.89273,0.89952,0.96672,0.97456,0.89728,0.42361,0.72244,0.8383,0.00058175,0.00058175,0.00058175
29,563.619,0.50228,0.67161,0.87301,0.94107,0.98131,0.97864,0.90003,0.3967,0.71119,0.83484,0.000557,0.000557,0.000557
30,583.274,0.48938,0.60977,0.86499,0.95152,0.9831,0.98128,0.90625,0.37366,0.6942,0.83561,0.00053225,0.00053225,0.00053225
31,603.123,0.46463,0.58741,0.85197,0.96238,0.97013,0.97962,0.90559,0.3812,0.66914,0.83831,0.0005075,0.0005075,0.0005075
32,622.48,0.49243,0.63634,0.88732,0.96154,0.92609,0.97535,0.89423,0.45909,0.68775,0.85323,0.00048275,0.00048275,0.00048275
33,641.955,0.4919,0.59975,0.86937,0.97071,0.915,0.97598,0.90143,0.40223,0.67031,0.84052,0.000458,0.000458,0.000458
34,661.555,0.49137,0.65391,0.8947,0.96664,0.9187,0.97429,0.90054,0.37192,0.67166,0.82903,0.00043325,0.00043325,0.00043325
35,681.967,0.45107,0.57949,0.86481,0.95769,0.91879,0.97197,0.89053,0.37628,0.66144,0.83179,0.0004085,0.0004085,0.0004085
36,701.131,0.43088,0.57265,0.8611,0.95723,0.93929,0.97469,0.90782,0.35002,0.649,0.83385,0.00038375,0.00038375,0.00038375
37,720.826,0.44745,0.59526,0.84201,0.96693,0.91458,0.97462,0.92066,0.3607,0.63077,0.8375,0.000359,0.000359,0.000359
38,740.909,0.44329,0.56089,0.84199,0.98085,0.93206,0.9766,0.92352,0.35121,0.60935,0.83678,0.00033425,0.00033425,0.00033425
39,762.4,0.43355,0.56393,0.86046,0.98548,0.94358,0.97777,0.92729,0.32359,0.60863,0.8311,0.0003095,0.0003095,0.0003095
40,789.562,0.47221,0.58213,0.86407,0.98208,0.93061,0.97723,0.9123,0.33675,0.6149,0.83585,0.00028475,0.00028475,0.00028475
41,816.251,0.40838,0.5719,0.84215,0.97387,0.96984,0.98077,0.93106,0.33625,0.60122,0.83968,0.00026,0.00026,0.00026
42,836.634,0.39307,0.57582,0.82105,0.98689,0.97102,0.98253,0.91732,0.34541,0.6045,0.83614,0.00023525,0.00023525,0.00023525
43,855.719,0.34602,0.54618,0.81052,0.9781,0.9757,0.98253,0.88853,0.37355,0.60926,0.83496,0.0002105,0.0002105,0.0002105
44,875.308,0.36557,0.55876,0.81539,0.97766,0.96601,0.98165,0.89206,0.36516,0.60126,0.83349,0.00018575,0.00018575,0.00018575
45,894.488,0.34472,0.54872,0.82208,0.97296,0.96988,0.98165,0.91955,0.32187,0.57244,0.82902,0.000161,0.000161,0.000161
46,913.472,0.35821,0.53459,0.83375,0.98819,0.97859,0.98264,0.9233,0.30675,0.56442,0.82702,0.00013625,0.00013625,0.00013625
47,932.892,0.37403,0.55545,0.82585,0.97492,0.96031,0.98195,0.91739,0.31867,0.56272,0.82889,0.0001115,0.0001115,0.0001115
48,952.27,0.35223,0.5506,0.81369,0.97463,0.95963,0.98178,0.92322,0.31284,0.56033,0.82925,8.675e-05,8.675e-05,8.675e-05
49,971.752,0.3608,0.53076,0.83664,0.9763,0.94584,0.9804,0.92578,0.30672,0.55472,0.82725,6.2e-05,6.2e-05,6.2e-05
50,990.254,0.32685,0.50993,0.83419,0.98867,0.97253,0.98253,0.92529,0.30691,0.54982,0.82695,3.725e-05,3.725e-05,3.725e-05
